Total Energy Consumption: 35665
Total Price: 2854.48
Hour, Consumption kw
0, 25.3404
1, 24.6387
2, 26.7141
3, 26.5199
4, 28.0417
5, 30.952
6, 31.0905
7, 29.3833
8, 25.4211
9, 27.3569
10, 23.9509
11, 24.1166
12, 26.6742
13, 22.3503
14, 25.5427
15, 31.1888
16, 30.603
17, 30.319
18, 30.3445
19, 28.849
20, 28.2386
21, 29.0317
22, 30.7744
23, 30.1034
24, 30.134
25, 28.9683
26, 29.945
27, 30.4423
28, 30.9857
29, 32.3926
30, 33.2713
31, 31.305
32, 32.2991
33, 32.4723
34, 31.3099
35, 28.7841
36, 29.0012
37, 29.8182
38, 31.6182
39, 33.5587
40, 33.5018
41, 34.5867
42, 34.2394
43, 33.0602
44, 31.6704
45, 30.9143
46, 31.6021
47, 33.1599
48, 33.2129
49, 32.6126
50, 30.8332
51, 31.2
52, 31.8826
53, 32.7499
54, 33.2497
55, 32.0084
56, 32.6657
57, 33.0213
58, 32.1499
59, 32.0983
60, 31.4048
61, 31.6748
62, 31.67
63, 33.5124
64, 31.8728
65, 33.5964
66, 32.8614
67, 32.3094
68, 31.1436
69, 31.2097
70, 31.1921
71, 31.1565
72, 32.4527
73, 30.8956
74, 32.9223
75, 30.4452
76, 31.0921
77, 33.2716
78, 35.3208
79, 32.0966
80, 31.8677
81, 31.682
82, 31.4988
83, 31.0839
84, 31.0534
85, 31.4875
86, 31.5257
87, 32.3796
88, 32.1025
89, 31.6561
90, 30.6371
91, 31.5724
92, 31.4263
93, 30.699
94, 29.9372
95, 29.6326
96, 30.8513
97, 28.7437
98, 28.441
99, 30.4651
100, 33.0123
101, 33.1875
102, 33.158
103, 33.6661
104, 32.3564
105, 31.4047
106, 32.7701
107, 30.4692
108, 29.9057
109, 29.5828
110, 30.0683
111, 30.9185
112, 30.7015
113, 31.1932
114, 30.9361
115, 31.5964
116, 31.837
117, 33.5216
118, 33.2155
119, 31.2966
120, 31.3759
121, 31.0181
122, 29.9875
123, 29.6376
124, 31.0934
125, 32.8467
126, 33.2854
127, 32.4751
128, 31.9112
129, 33.7598
130, 31.3851
131, 31.1117
132, 30.7198
133, 30.7909
134, 30.1434
135, 29.9735
136, 29.8515
137, 30.0686
138, 30.6194
139, 29.9244
140, 31.5038
141, 30.0464
142, 31.3682
143, 30.0066
144, 31.5985
145, 29.4851
146, 27.3726
147, 27.8992
148, 30.1199
149, 32.5802
150, 31.8196
151, 31.3495
152, 31.2004
153, 30.9241
154, 30.3099
155, 30.0163
156, 29.6061
157, 31.1229
158, 29.1662
159, 30.5048
160, 29.1924
161, 27.9377
162, 29.9113
163, 29.4386
164, 27.6562
165, 27.7079
166, 27.2814
167, 29.1027
168, 28.1299
169, 29.2773
170, 26.9776
171, 26.1705
172, 26.8608
173, 31.1054
174, 32.5638
175, 28.2011
176, 26.608
177, 23.7935
178, 25.1825
179, 23.1023
180, 25.2875
181, 25.0702
182, 27.0401
183, 27.2057
184, 28.0141
185, 28.7096
186, 29.0098
187, 28.6382
188, 26.7506
189, 26.4259
190, 21.8477
191, 20.8147
192, 23.2926
193, 21.0827
194, 22.4559
195, 25.2032
196, 28.502
197, 31.1594
198, 32.2322
199, 31.07
200, 33.4266
201, 31.0127
202, 30.7209
203, 28.1473
204, 26.0738
205, 25.1233
206, 26.3075
207, 29.1024
208, 27.7751
209, 27.4656
210, 27.198
211, 27.9038
212, 26.6561
213, 25.5848
214, 25.1249
215, 26.1848
216, 24.8476
217, 24.5015
218, 22.35
219, 24.2987
220, 25.8411
221, 29.3069
222, 30.5959
223, 30.0643
224, 27.7765
225, 26.6436
226, 25.4791
227, 28.9765
228, 24.2424
229, 25.3184
230, 24.9329
231, 28.4704
232, 28.3014
233, 25.8397
234, 25.6273
235, 25.3081
236, 26.6926
237, 25.63
238, 23.3033
239, 26.6727
240, 22.9464
241, 25.3567
242, 24.8031
243, 25.4625
244, 28.1796
245, 28.4754
246, 30.7557
247, 28.4152
248, 25.3387
249, 23.7573
250, 22.2115
251, 22.9042
252, 21.1783
253, 21.7704
254, 21.0765
255, 29.2778
256, 28.2588
257, 24.821
258, 22.5975
259, 23.6285
260, 20.8119
261, 21.2338
262, 21.5502
263, 25.3595
264, 24.8846
265, 26.7995
266, 26.5686
267, 26.8022
268, 27.9321
269, 35.2323
270, 29.5103
271, 31.5046
272, 29.3495
273, 24.9599
274, 26.3736
275, 26.4809
276, 26.1891
277, 25.386
278, 25.0997
279, 27.6865
280, 28.4668
281, 28.0435
282, 28.3361
283, 30.0653
284, 29.5448
285, 30.2076
286, 28.506
287, 27.8165
288, 30.6384
289, 26.9108
290, 23.9222
291, 26.7734
292, 29.1785
293, 32.0619
294, 30.6097
295, 31.8371
296, 30.3752
297, 27.2394
298, 28.0784
299, 26.4245
300, 25.8653
301, 25.7938
302, 28.3457
303, 30.5797
304, 29.3154
305, 29.6817
306, 27.0833
307, 26.5221
308, 25.7778
309, 27.0853
310, 25.5067
311, 26.5069
312, 30.6161
313, 30.322
314, 29.5553
315, 32.1453
316, 28.0711
317, 34.8637
318, 34.5591
319, 34.3222
320, 31.3079
321, 29.889
322, 27.895
323, 27.2943
324, 27.4992
325, 28.459
326, 28.0595
327, 33.3615
328, 32.5533
329, 33.1627
330, 29.9602
331, 26.5022
332, 29.3546
333, 28.1484
334, 29.5593
335, 29.7279
336, 29.5254
337, 27.1509
338, 27.7335
339, 30.9277
340, 31.0424
341, 32.5677
342, 30.458
343, 33.9589
344, 31.7157
345, 27.3113
346, 26.9822
347, 27.2019
348, 26.798
349, 27.4583
350, 27.0188
351, 28.9481
352, 28.9684
353, 28.1396
354, 25.2638
355, 24.855
356, 26.5476
357, 26.3018
358, 25.768
359, 26.2126
360, 26.3874
361, 24.5747
362, 23.826
363, 25.8796
364, 26.2307
365, 27.3013
366, 27.4743
367, 29.4215
368, 28.9883
369, 30.6303
370, 29.5763
371, 30.175
372, 28.7397
373, 28.0937
374, 28.4271
375, 28.714
376, 29.5245
377, 28.7579
378, 27.2839
379, 27.4408
380, 26.3639
381, 28.882
382, 27.5643
383, 27.3897
384, 26.3013
385, 25.5499
386, 26.0647
387, 26.4336
388, 26.968
389, 30.4318
390, 31.7006
391, 30.9657
392, 30.7364
393, 29.6816
394, 30.7682
395, 30.5216
396, 28.1353
397, 27.6723
398, 30.9129
399, 29.4032
400, 30.6546
401, 32.5087
402, 28.997
403, 26.9607
404, 25.1471
405, 24.841
406, 25.9429
407, 26.1916
408, 25.6604
409, 25.5003
