Total Energy Consumption: 96138.9
Total Price: 7695.96
Hour, Consumption kw
0, 59.6407
1, 63.8432
2, 68.2531
3, 67.8333
4, 67.7867
5, 79.1342
6, 80.2169
7, 78.3094
8, 68.7432
9, 72.2635
10, 69.8599
11, 69.6519
12, 72.275
13, 61.2823
14, 68.2013
15, 83.9261
16, 83.6583
17, 81.874
18, 83.124
19, 80.1408
20, 78.7895
21, 80.0197
22, 83.4072
23, 81.5377
24, 81.607
25, 79.4321
26, 81.7546
27, 76.0543
28, 81.3416
29, 87.415
30, 88.8707
31, 84.8423
32, 85.9506
33, 82.8773
34, 80.4209
35, 74.1492
36, 73.6256
37, 75.2062
38, 78.6003
39, 83.4557
40, 86.3174
41, 89.4823
42, 90.5642
43, 88.3217
44, 84.6229
45, 81.849
46, 86.5307
47, 88.0583
48, 87.9796
49, 88.0152
50, 84.7615
51, 81.9779
52, 81.4584
53, 89.3163
54, 89.8723
55, 87.5645
56, 88.7672
57, 89.9101
58, 87.5003
59, 88.1196
60, 85.5829
61, 84.7389
62, 84.6172
63, 88.7808
64, 85.9912
65, 89.383
66, 93.8333
67, 87.0505
68, 83.4432
69, 83.5721
70, 83.7983
71, 83.4657
72, 86.0581
73, 83.0417
74, 87.2189
75, 81.5434
76, 80.7835
77, 88.8171
78, 93.9627
79, 86.3787
80, 85.6407
81, 85.5048
82, 85.2813
83, 84.3823
84, 83.7826
85, 84.3109
86, 84.3511
87, 86.3673
88, 93.2917
89, 87.1326
90, 83.7187
91, 84.7682
92, 84.2532
93, 82.7773
94, 81.1996
95, 80.4179
96, 83.8498
97, 80.565
98, 80.122
99, 82.1016
100, 87.2601
101, 87.0618
102, 87.8034
103, 89.677
104, 86.8315
105, 85.0755
106, 87.701
107, 82.5051
108, 80.8302
109, 79.8395
110, 80.867
111, 86.8559
112, 83.3012
113, 85.1016
114, 84.3823
115, 84.9335
116, 85.1754
117, 88.3951
118, 87.6267
119, 83.4363
120, 83.2647
121, 82.8191
122, 81.2875
123, 79.3206
124, 78.8497
125, 85.5258
126, 87.4129
127, 86.5291
128, 85.2846
129, 88.8227
130, 84.0516
131, 83.518
132, 82.6615
133, 82.7375
134, 81.0915
135, 82.2109
136, 81.4633
137, 81.968
138, 84.4604
139, 82.3163
140, 84.0292
141, 81.4464
142, 83.9651
143, 81.0675
144, 84.177
145, 73.2515
146, 68.0944
147, 73.7431
148, 79.7466
149, 86.9222
150, 85.1927
151, 84.0782
152, 84.2052
153, 83.8124
154, 82.5636
155, 81.7579
156, 81.2525
157, 83.5086
158, 79.4395
159, 82.4848
160, 80.2967
161, 77.2067
162, 81.2904
163, 83.0189
164, 75.6983
165, 74.3743
166, 73.3136
167, 76.7925
168, 74.5029
169, 77.3404
170, 73.8183
171, 71.8274
172, 67.7505
173, 81.2434
174, 83.333
175, 78.2565
176, 73.5476
177, 62.9373
178, 64.197
179, 59.5663
180, 63.655
181, 62.7593
182, 66.6763
183, 66.684
184, 72.0439
185, 72.312
186, 76.4734
187, 76.3681
188, 70.109
189, 65.4661
190, 60.2007
191, 55.7461
192, 59.0199
193, 59.1107
194, 63.9622
195, 69.2474
196, 74.6974
197, 82.6917
198, 81.89
199, 78.5077
200, 82.4386
201, 80.4987
202, 74.8053
203, 69.5913
204, 65.1942
205, 62.545
206, 64.9299
207, 71.618
208, 71.7975
209, 68.9372
210, 74.2646
211, 74.1501
212, 71.3871
213, 72.0038
214, 70.019
215, 67.9112
216, 65.0899
217, 67.7911
218, 67.1439
219, 69.7294
220, 73.0084
221, 81.0371
222, 82.8149
223, 79.4085
224, 73.2228
225, 72.8269
226, 67.6169
227, 73.8875
228, 61.795
229, 62.8347
230, 62.2624
231, 68.8388
232, 69.9644
233, 68.038
234, 72.9088
235, 72.111
236, 70.381
237, 66.2548
238, 65.4859
239, 70.6773
240, 62.3752
241, 72.2982
242, 71.7527
243, 72.6689
244, 77.8828
245, 76.6972
246, 83.4487
247, 74.1073
248, 69.5237
249, 66.6142
250, 58.3254
251, 59.5907
252, 55.5323
253, 56.2697
254, 54.5759
255, 71.6857
256, 74.4867
257, 67.9382
258, 66.8376
259, 69.5061
260, 63.8048
261, 62.7145
262, 64.5876
263, 70.6457
264, 71.3566
265, 76.381
266, 74.8395
267, 75.1271
268, 76.1928
269, 86.9486
270, 76.0499
271, 82.1885
272, 77.5786
273, 66.6475
274, 65.9249
275, 65.9498
276, 65.2727
277, 63.5998
278, 63.0674
279, 68.132
280, 69.5419
281, 75.4035
282, 80.5495
283, 82.7056
284, 77.6645
285, 79.754
286, 76.9034
287, 75.2886
288, 83.131
289, 75.7685
290, 69.7698
291, 74.4792
292, 79.0583
293, 87.5399
294, 82.7755
295, 85.1246
296, 80.5802
297, 73.0688
298, 74.7353
299, 71.4144
300, 70.1554
301, 69.8508
302, 74.8868
303, 79.6519
304, 77.1953
305, 75.6988
306, 71.5823
307, 72.6752
308, 71.7708
309, 71.8732
310, 69.4017
311, 70.5313
312, 78.6961
313, 81.9595
314, 80.5045
315, 85.8041
316, 77.1178
317, 91.3723
318, 88.0622
319, 87.782
320, 80.524
321, 77.4005
322, 72.6714
323, 73.2248
324, 69.051
325, 69.9233
326, 68.7967
327, 79.382
328, 79.1146
329, 85.9537
330, 78.8486
331, 72.1087
332, 78.1717
333, 73.1766
334, 76.1236
335, 77.2714
336, 75.8711
337, 74.9799
338, 76.9805
339, 84.1515
340, 86.1764
341, 86.8121
342, 82.2346
343, 89.2966
344, 84.472
345, 77.0624
346, 75.2437
347, 73.2354
348, 67.4539
349, 68.0309
350, 67.0821
351, 70.9033
352, 72.7107
353, 71.1014
354, 69.3632
355, 69.3105
356, 72.7526
357, 68.6696
358, 68.9218
359, 68.4685
360, 68.9148
361, 69.5049
362, 69.8411
363, 72.9258
364, 68.6165
365, 67.2866
366, 74.4805
367, 78.9658
368, 72.2324
369, 75.4432
370, 73.19
371, 74.3306
372, 70.9732
373, 69.4499
374, 71.093
375, 70.8723
376, 74.3604
377, 73.705
378, 75.1182
379, 75.7045
380, 72.7456
381, 77.47
382, 74.6845
383, 76.28
384, 72.4497
385, 72.2822
386, 71.8977
387, 71.2817
388, 73.3606
389, 77.7498
390, 82.3321
391, 80.8637
392, 81.6294
393, 78.5983
394, 79.1892
395, 75.3256
396, 72.2661
397, 71.4203
398, 75.427
399, 73.3544
400, 74.8464
401, 83.6607
402, 74.9489
403, 68.7208
404, 64.9229
405, 64.6186
406, 67.9997
407, 69.8021
408, 71.8441
409, 73.0554
410, 1438.11
411, 72.4289
412, 72.9277
413, 75.7457
414, 79.2913
415, 78.484
416, 77.7383
417, 72.0587
418, 70.7148
419, 70.3999
420, 66.824
421, 62.5288
422, 67.9974
423, 70.378
424, 75.6498
425, 72.4841
426, 69.0126
427, 69.7503
428, 69.2485
429, 72.2312
430, 69.5382
431, 70.7785
432, 73.8681
433, 72.6097
434, 70.3691
435, 71.3587
436, 72.8313
437, 76.5487
438, 76.3665
439, 86.4487
440, 75.5919
441, 72.3077
442, 68.9777
443, 64.2852
444, 63.2581
445, 66.3375
446, 67.0124
447, 67.1234
448, 67.2898
449, 69.2308
450, 69.9013
451, 71.7945
452, 74.2355
453, 71.3536
454, 74.0851
455, 73.0168
456, 73.7992
457, 73.9853
458, 70.511
459, 67.1595
460, 79.2831
461, 89.5059
462, 87.6138
463, 84.7454
464, 83.3145
465, 80.1156
466, 79.5461
467, 77.5829
468, 68.7186
469, 75.142
470, 72.0112
471, 78.0542
472, 71.2966
473, 72.9935
474, 75.5522
475, 73.331
476, 73.6981
477, 73.4301
478, 69.1542
479, 71.125
480, 72.6253
481, 68.9109
482, 62.3885
483, 68.4552
484, 75.03
485, 81.3669
486, 84.9429
487, 83.095
488, 77.3652
489, 72.3635
490, 67.5634
491, 66.5735
492, 65.1741
493, 59.2877
494, 56.0275
495, 68.4145
496, 67.6926
497, 61.4975
498, 67.397
499, 70.1709
500, 64.8427
501, 67.5045
502, 70.2343
503, 72.0029
504, 67.0937
505, 66.0787
506, 58.6375
507, 62.199
508, 69.5597
509, 72.3071
510, 79.2166
511, 79.1505
512, 70.477
513, 65.9237
514, 66.3047
515, 64.8132
516, 59.7329
517, 56.0994
518, 55.0472
519, 63.4854
520, 64.8999
521, 60.3411
522, 62.3386
523, 61.0555
524, 65.2574
525, 67.6823
526, 68.6574
527, 72.458
528, 71.8685
529, 63.6253
530, 50.5924
531, 64.3672
532, 74.8653
533, 87.894
534, 82.3474
535, 88.7759
536, 84.126
537, 78.5008
538, 79.8551
539, 73.2186
540, 73.9234
541, 65.9064
542, 64.5094
543, 69.1442
544, 73.2031
545, 75.4724
546, 73.5962
547, 71.3774
548, 69.8908
549, 68.5384
550, 68.4022
551, 71.2252
552, 68.7948
553, 70.9106
554, 65.3621
555, 72.7574
556, 81.4948
557, 77.1756
558, 80.2313
559, 81.5189
560, 76.4201
561, 67.3847
562, 64.1102
563, 63.4129
564, 63.0175
565, 56.3027
566, 58.6036
567, 69.2046
568, 72.4373
569, 69.6886
570, 69.6189
571, 73.921
572, 75.1852
573, 72.9233
574, 73.1294
575, 78.7386
576, 76.9978
577, 68.8219
578, 55.0645
579, 66.2405
580, 74.3005
581, 79.1755
582, 79.7976
583, 83.6128
584, 80.7915
585, 80.84
586, 79.8079
587, 78.2314
588, 65.3815
589, 64.4383
590, 63.9796
