Total Energy Consumption: 47999.3
Total Price: 2626.84
Hour, Consumption kw
0, 29.8204
1, 31.9216
2, 34.1266
3, 33.9166
4, 33.8933
5, 39.5671
6, 40.1084
7, 39.1547
8, 34.3716
9, 36.1318
10, 31.7778
11, 33.5849
12, 34.1123
13, 28.356
14, 32.258
15, 41.0897
16, 41.4353
17, 40.1101
18, 41.0157
19, 36.8371
20, 34.9162
21, 40.7449
22, 41.8482
23, 40.7688
24, 41.0703
25, 40.6728
26, 41.5245
27, 38.4615
28, 41.1315
29, 43.7075
30, 44.4353
31, 42.4211
32, 43.2344
33, 43.904
34, 36.2983
35, 35.5572
36, 35.4205
37, 36.8241
38, 38.1101
39, 40.9131
40, 42.4855
41, 43.6161
42, 43.4654
43, 38.043
44, 36.1931
45, 42.5449
46, 44.2259
47, 45.815
48, 45.0355
49, 44.7374
50, 43.1671
51, 41.5455
52, 41.0112
53, 44.9723
54, 44.9362
55, 43.7822
56, 44.3836
57, 45.3771
58, 38.6499
59, 40.1183
60, 37.0413
61, 38.0925
62, 38.9733
63, 44.0149
64, 41.7546
65, 43.1821
66, 43.44
67, 38.267
68, 34.2236
69, 42.0812
70, 42.7388
71, 42.2853
72, 43.1469
73, 41.6652
74, 43.7338
75, 42.1759
76, 41.6574
77, 44.4085
78, 47.5493
79, 44.8688
80, 42.9867
81, 42.7704
82, 35.4819
83, 36.3772
84, 36.6654
85, 37.8541
86, 37.5762
87, 42.1475
88, 43.8954
89, 40.522
90, 39.265
91, 36.5005
92, 32.5624
93, 41.603
94, 41.7736
95, 41.255
96, 42.8859
97, 46.0338
98, 49.0594
99, 47.539
100, 49.5277
101, 45.1222
102, 44.3357
103, 45.0131
104, 43.6253
105, 42.6094
106, 37.7771
107, 32.6411
108, 34.5823
109, 32.1157
110, 35.3601
111, 39.6163
112, 38.1603
113, 38.545
114, 39.9967
115, 35.764
116, 35.1813
117, 44.2285
118, 43.8134
119, 41.9015
120, 42.0714
121, 41.6161
122, 42.1561
123, 42.5494
124, 41.8409
125, 43.4053
126, 43.9177
127, 43.2645
128, 42.7434
129, 44.9403
130, 34.2874
131, 31.5352
132, 31.3834
133, 31.4806
134, 32.3058
135, 38.1335
136, 36.2822
137, 37.7813
138, 39.4263
139, 34.4235
140, 35.8521
141, 42.4208
142, 43.0295
143, 41.6684
144, 43.0647
145, 38.1111
146, 37.901
147, 41.4231
148, 43.2712
149, 44.1679
150, 43.0854
151, 42.4474
152, 43.164
153, 43.2961
154, 32.7132
155, 30.4948
156, 33.3136
157, 33.0762
158, 30.0191
159, 35.4406
160, 36.2309
161, 35.4912
162, 39.3625
163, 36.1916
164, 30.29
165, 42.9286
166, 41.6313
167, 41.7097
168, 41.5208
169, 41.5941
170, 41.6471
171, 41.6309
172, 40.8732
173, 42.8497
174, 44.3203
175, 42.2671
176, 42.4183
177, 42.3916
178, 30.2299
179, 27.5452
180, 29.3385
181, 28.8231
182, 31.6937
183, 32.2413
184, 35.4506
185, 35.0373
186, 36.4243
187, 33.4743
188, 28.8241
189, 40.4617
190, 40.7708
191, 40.0308
192, 40.3483
193, 38.6924
194, 38.6217
195, 39.9084
196, 41.4833
197, 42.8523
198, 43.4716
199, 41.8233
200, 43.5224
201, 40.4304
202, 31.2409
203, 29.8798
204, 31.2919
205, 29.7787
206, 30.868
207, 34.9469
208, 35.377
209, 33.9932
210, 33.5809
211, 34.839
212, 30.8104
213, 41.3548
214, 41.1815
215, 40.6638
216, 40.6267
217, 40.4896
218, 41.096
219, 39.8948
220, 40.9233
221, 41.7989
222, 42.7558
223, 42.8224
224, 40.3689
225, 40.4893
226, 30.8472
227, 34.5413
228, 29.5057
229, 31.4595
230, 31.2521
231, 34.4755
232, 34.4683
233, 33.4623
234, 35.1234
235, 33.9459
236, 29.7508
237, 37.1458
238, 38.4156
239, 38.2453
240, 36.8835
241, 39.2458
242, 39.7541
243, 40.4744
244, 40.2948
245, 40.8653
246, 42.5898
247, 41.2512
248, 42.2282
249, 40.9013
250, 27.728
251, 28.5821
252, 26.2584
253, 26.9017
254, 26.0533
255, 34.5502
256, 35.2375
257, 32.5074
258, 32.868
259, 33.6038
260, 30.9141
261, 39.6425
262, 38.8103
263, 38.6051
264, 39.0566
265, 39.5766
266, 38.9242
267, 40.1217
268, 40.0164
269, 46.8357
270, 40.2708
271, 41.9887
272, 42.6086
273, 38.1422
274, 30.753
275, 31.7088
276, 31.1429
277, 29.8441
278, 30.0945
279, 33.0383
280, 33.7687
281, 35.5313
282, 37.8089
283, 38.2657
284, 35.6171
285, 42.0841
286, 41.517
287, 38.8853
288, 43.3688
289, 39.5492
290, 36.8472
291, 38.7726
292, 40.3256
293, 44.2103
294, 42.1966
295, 43.6215
296, 40.9403
297, 37.2955
298, 35.6128
299, 31.8947
300, 30.6256
301, 29.7651
302, 32.6399
303, 35.618
304, 35.2037
305, 37.9469
306, 36.9456
307, 35.7788
308, 34.9698
309, 41.6278
310, 38.9319
311, 38.5415
312, 41.9237
313, 41.8832
314, 40.5548
315, 43.54
316, 38.9589
317, 48.5554
318, 47.1657
319, 46.1564
320, 44.1019
321, 39.389
322, 33.205
323, 32.7397
324, 30.8489
325, 31.7796
326, 31.5798
327, 37.504
328, 35.6873
329, 40.6162
330, 37.5317
331, 34.2773
332, 35.2247
333, 41.1306
334, 41.7898
335, 40.9762
336, 38.4256
337, 38.0368
338, 38.9105
339, 43.1386
340, 44.5194
341, 44.8948
342, 44.1232
343, 46.5838
344, 42.7763
345, 38.6251
346, 33.3092
347, 30.9065
348, 29.7761
349, 30.761
350, 30.2812
351, 32.0764
352, 33.6836
353, 32.5295
354, 32.3675
355, 29.4918
356, 29.7252
357, 37.3714
358, 37.3466
359, 37.0528
360, 35.6366
361, 36.5306
362, 36.5174
363, 37.7697
364, 35.3389
365, 34.9016
366, 37.7727
367, 41.2414
368, 37.2865
369, 38.3945
370, 35.6552
371, 36.4137
372, 35.4033
373, 34.4918
374, 35.9992
375, 35.4578
376, 35.5029
377, 33.7625
378, 34.8675
379, 32.9862
380, 30.5363
381, 40.7419
382, 39.2079
383, 40.8078
384, 37.1557
385, 37.2709
386, 37.2105
387, 37.115
388, 37.3232
389, 40.4765
390, 41.5564
391, 40.6577
392, 41.1334
393, 39.9426
394, 35.8379
395, 35.6377
396, 34.3387
397, 33.7512
398, 37.8156
399, 35.7077
400, 36.4735
401, 40.218
402, 35.3303
403, 30.8362
404, 28.4549
405, 37.6928
406, 37.6473
407, 37.1996
408, 36.7239
409, 36.7494
410, 719.382
411, 36.6923
412, 37.1062
413, 38.6176
414, 41.0029
415, 40.2765
416, 41.386
417, 37.233
418, 34.072
419, 32.424
420, 30.9523
421, 29.4213
422, 32.9129
423, 33.3297
424, 34.9092
425, 34.2999
426, 30.3258
427, 30.1677
428, 30.4561
429, 39.5661
430, 37.3985
431, 36.8105
432, 37.6022
433, 37.3912
434, 36.3459
435, 36.8525
436, 37.3182
437, 38.8931
438, 39.1101
439, 44.7731
440, 40.2374
441, 36.7443
442, 32.353
443, 29.0918
444, 29.2198
445, 30.5506
446, 30.474
447, 30.5236
448, 31.0597
449, 31.4939
450, 32.8112
451, 33.7953
452, 35.0624
453, 37.6702
454, 39.9691
455, 38.1271
456, 38.4052
457, 38.7306
458, 36.7907
459, 35.7341
460, 40.3561
461, 45.0485
462, 44.0794
463, 43.9266
464, 43.9029
465, 42.661
466, 33.6368
467, 27.6046
468, 27.9492
469, 31.6
470, 30.7653
471, 35.1159
472, 33.5145
473, 35.0888
474, 35.7797
475, 32.4724
476, 30.6123
477, 41.8125
478, 42.3583
479, 42.3846
480, 43.0131
481, 39.32
482, 34.2203
483, 37.712
484, 40.2206
485, 41.4732
486, 44.8216
487, 44.6163
488, 41.0112
489, 37.7196
490, 31.0585
491, 28.3379
492, 25.816
493, 24.0732
494, 25.3131
495, 32.2988
496, 32.7351
497, 31.3433
498, 31.6624
499, 30.9741
500, 28.2826
501, 37.9331
502, 37.7497
503, 37.8746
504, 37.1049
505, 36.6499
506, 33.4454
507, 35.8783
508, 37.7629
509, 39.2931
510, 39.7624
511, 40.1849
512, 35.2385
513, 33.2008
514, 28.8979
515, 26.7366
516, 24.4653
517, 23.7067
518, 25.4578
519, 30.2839
520, 31.1514
521, 29.392
522, 28.8196
523, 28.1253
524, 29.1428
525, 37.6338
526, 38.3731
527, 39.1013
528, 39.3576
529, 35.9593
530, 28.6688
531, 35.2161
532, 38.6871
533, 44.1877
534, 41.1737
535, 45.7659
536, 42.2578
537, 39.3482
538, 35.4024
539, 31.451
540, 30.8971
541, 30.5287
542, 30.6892
543, 31.996
544, 34.249
545, 36.089
546, 32.4762
547, 31.2144
548, 30.109
549, 40.9927
550, 39.416
551, 40.4148
552, 38.022
553, 38.4477
554, 35.3786
555, 38.4239
556, 41.3177
557, 38.9493
558, 41.8734
559, 43.0309
560, 39.9344
561, 34.073
562, 28.9431
563, 26.4461
564, 27.9193
565, 25.7522
566, 27.7381
567, 34.0416
568, 35.04
569, 34.1267
570, 30.5311
571, 33.8876
572, 30.7844
573, 41.0372
574, 40.4258
575, 41.5979
576, 41.2527
577, 41.2377
578, 32.3408
579, 36.8614
580, 39.3803
581, 40.585
582, 40.2729
583, 43.2558
584, 40.8711
585, 41.5137
586, 35.1104
587, 34.6132
588, 29.6675
589, 29.7862
590, 29.9874
591, 33.711
592, 36.9494
593, 36.8988
594, 32.7057
595, 35.5197
596, 32.5289
597, 41.4048
598, 41.0395
599, 41.0789
600, 38.6365
601, 38.5018
602, 37.6127
603, 38.3388
604, 39.2829
605, 40.0901
606, 43.7142
607, 42.128
608, 39.0313
609, 36.0725
610, 31.3284
611, 26.8062
612, 26.1467
613, 24.7483
614, 25.9812
615, 32.4114
616, 31.6156
617, 32.5284
618, 34.0267
619, 30.7168
620, 33.3641
621, 41.3659
622, 43.2854
623, 42.3206
624, 42.2232
625, 41.0151
626, 39.6772
627, 34.8432
628, 39.6985
629, 42.6931
630, 42.1707
631, 42.2039
632, 38.8678
633, 36.449
634, 30.3976
635, 25.9274
636, 26.2595
637, 25.9824
638, 27.3366
639, 29.2128
640, 29.0809
641, 32.4466
642, 31.1716
643, 32.3278
644, 31.4508
645, 40.6681
646, 41.3878
647, 38.0861
648, 37.7803
649, 35.5892
650, 33.7756
651, 40.6846
652, 38.0468
653, 40.0828
654, 44.5878
655, 38.1531
656, 36.9817
657, 38.4365
658, 29.5508
659, 26.4633
660, 26.5672
661, 27.4065
662, 28.3619
663, 32.1196
664, 30.3158
665, 34.6076
