Total Energy Consumption: 55920
Total Price: 4630.23
Hour, Consumption kw
0, 35.086
1, 36.8737
2, 39.7796
3, 39.6481
4, 39.8962
5, 46.0218
6, 46.3528
7, 43.638
8, 40.6717
9, 41.6067
10, 36.8622
11, 39.377
12, 39.8118
13, 34.3332
14, 38.1604
15, 47.6933
16, 48.3717
17, 46.3018
18, 46.9097
19, 47.0107
20, 46.157
21, 46.5986
22, 47.8073
23, 47.7918
24, 47.9954
25, 47.4965
26, 48.3506
27, 45.2167
28, 48.0261
29, 51.0598
30, 50.2757
31, 46.1431
32, 45.5945
33, 43.5959
34, 42.517
35, 41.4038
36, 41.1332
37, 43.1886
38, 44.5767
39, 47.7941
40, 49.8001
41, 49.957
42, 51.0133
43, 51.192
44, 49.8123
45, 49.3686
46, 50.6801
47, 52.0993
48, 51.4613
49, 51.3755
50, 49.6052
51, 47.7704
52, 47.9331
53, 52.8712
54, 51.7934
55, 48.7089
56, 51.0534
57, 49.5483
58, 44.3545
59, 45.8373
60, 43.1531
61, 44.5868
62, 45.4354
63, 50.9783
64, 48.9772
65, 49.9344
66, 49.4963
67, 51.0429
68, 48.5453
69, 48.9547
70, 50.48
71, 49.5469
72, 50.2928
73, 48.8799
74, 51.9006
75, 48.201
76, 47.5871
77, 52.0941
78, 57.0878
79, 50.3133
80, 46.2473
81, 43.1562
82, 41.4666
83, 42.103
84, 42.2655
85, 43.4818
86, 43.3637
87, 48.1565
88, 50.7257
89, 50.9053
90, 44.3144
91, 49.8327
92, 48.9503
93, 48.2697
94, 48.3581
95, 48.2603
96, 49.9042
97, 49.4021
98, 53.5907
99, 55.8504
100, 59.2577
101, 54.3461
102, 50.0195
103, 48.5472
104, 45.414
105, 40.5025
106, 42.7359
107, 37.8974
108, 39.7347
109, 37.0843
110, 40.7539
111, 50.5647
112, 45.1673
113, 43.3742
114, 45.0636
115, 50.7553
116, 50.1925
117, 53.4672
118, 51.2499
119, 49.0569
120, 49.3674
121, 48.4398
122, 48.3205
123, 47.8057
124, 47.8162
125, 50.5064
126, 47.2613
127, 47.8582
128, 45.0255
129, 43.1262
130, 41.1462
131, 36.6074
132, 36.1823
133, 36.3292
134, 37.4038
135, 43.5742
136, 41.848
137, 43.546
138, 45.302
139, 50.3438
140, 51.859
141, 49.0536
142, 49.9101
143, 48.66
144, 50.6799
145, 44.4828
146, 42.8523
147, 45.9926
148, 49.0287
149, 51.7539
150, 49.3056
151, 46.8821
152, 43.3962
153, 40.1823
154, 37.7026
155, 35.2881
156, 37.9634
157, 37.7892
158, 34.8664
159, 41.5619
160, 42.5221
161, 40.6424
162, 45.9201
163, 50.3521
164, 49.2497
165, 49.7523
166, 48.455
167, 48.5334
168, 48.3445
169, 48.413
170, 45.8911
171, 45.7469
172, 45.5244
173, 50.4675
174, 49.5362
175, 42.56
176, 42.5586
177, 35.9237
178, 36.0523
179, 32.8374
180, 34.4201
181, 33.9841
182, 37.0174
183, 38.2201
184, 42.2994
185, 41.3079
