Total Energy Consumption: 7900.15
Total Price: 656.703
Hour, Consumption kw
0, 5.26568
1, 4.95213
2, 5.65299
3, 5.73147
4, 6.00285
5, 6.45471
6, 6.70482
7, 6.87225
8, 6.68953
9, 6.39283
10, 5.08439
11, 5.79209
12, 5.69941
13, 5.97722
14, 5.9024
15, 6.60369
16, 6.93644
17, 6.19163
18, 5.89407
19, 5.99368
20, 6.07382
21, 6.14933
22, 6.10369
23, 7.023
24, 6.92509
25, 6.8237
26, 6.82611
27, 6.75525
28, 7.35526
29, 7.3523
30, 8.67858
31, 7.17416
32, 6.66581
33, 6.35025
34, 6.2187
35, 5.84663
36, 5.71269
37, 6.36454
38, 6.46656
39, 6.88105
40, 7.31451
41, 6.34082
42, 5.59047
43, 6.8237
44, 6.8237
45, 6.8237
46, 6.63893
47, 6.64934
48, 6.71579
49, 6.98807
50, 6.95489
51, 6.50415
52, 6.92194
53, 7.86692
54, 7.56433
55, 7.50007
56, 6.88603
57, 6.04411
58, 5.70457
59, 5.719
60, 6.11184
61, 6.49437
62, 6.46206
63, 6.9634
64, 7.22258
65, 6.75223
66, 6.05631
67, 6.90695
68, 6.8237
69, 6.87343
70, 7.74122
71, 7.19802
72, 7.14588
73, 7.21466
74, 8.16681
75, 7.27062
76, 7.0901
77, 7.68558
78, 10.3458
79, 7.40999
80, 6.99069
81, 6.46706
82, 5.98469
83, 5.72583
84, 5.74178
85, 6.31679
86, 6.48606
87, 6.74725
88, 7.33029
89, 6.53597
90, 5.04938
91, 6.8237
92, 6.8237
93, 6.8237
94, 6.8237
95, 7.00536
96, 7.01825
97, 7.10884
98, 7.71575
99, 10.1938
100, 11.0592
101, 9.22395
102, 8.35496
103, 6.60519
104, 6.55866
105, 5.48371
106, 5.18835
107, 5.25634
108, 5.15235
109, 4.96865
110, 5.39382
111, 5.7559
112, 5.87743
113, 4.82917
114, 5.06691
115, 7.16997
116, 7.20114
117, 9.23873
118, 7.43657
119, 7.15541
120, 7.29601
121, 6.8237
122, 7.11508
123, 7.29159
124, 7.3975
125, 7.10104
126, 6.34969
127, 6.58232
128, 6.33371
129, 6.01979
130, 6.85874
131, 5.07223
132, 4.79885
133, 4.84862
134, 5.09804
135, 5.44067
136, 5.56578
137, 5.7647
138, 5.87565
139, 6.95459
140, 8.53513
141, 6.88731
142, 6.88051
143, 6.99158
144, 7.61522
145, 6.88141
146, 6.99481
147, 6.91973
148, 7.8599
149, 7.586
150, 7.06277
151, 6.50969
152, 6.40636
153, 5.25285
154, 5.16374
155, 4.7933
156, 4.64981
157, 4.71306
158, 4.84732
159, 6.12132
160, 6.29111
161, 5.15122
162, 6.55765
163, 6.86244
164, 6.85115
165, 6.8237
166, 6.8237
167, 6.8237
168, 6.8237
169, 6.84911
170, 6.8237
171, 6.86862
172, 6.85305
173, 7.61782
174, 8.5254
175, 7.05086
176, 7.05277
177, 5.91094
178, 5.82241
179, 5.34356
180, 5.08159
181, 5.16093
182, 5.32368
183, 5.97878
184, 6.84881
185, 6.27069
186, 5.40079
187, 6.88126
188, 6.8237
189, 6.8237
190, 6.8237
191, 6.8237
192, 7.04085
193, 6.78423
194, 6.25394
195, 6.24502
196, 6.21772
197, 6.54319
198, 6.64714
199, 7.34469
200, 6.62872
201, 6.00554
202, 5.34698
203, 5.31776
204, 5.41621
205, 5.29538
206, 5.4878
207, 6.58689
208, 6.6646
209, 5.22299
210, 4.35712
211, 6.91014
212, 6.34337
213, 6.28345
214, 5.79102
215, 5.72209
216, 5.80349
217, 5.70098
218, 5.58827
219, 5.56236
220, 5.94247
221, 6.2896
222, 6.33791
223, 7.44348
224, 6.54868
225, 5.42389
226, 5.44372
227, 5.25816
228, 5.1065
229, 5.25807
230, 5.24176
231, 6.07
232, 6.66474
233, 4.58616
234, 4.88013
235, 5.04815
236, 4.61466
237, 4.79033
238, 4.598
239, 6.42649
240, 5.90868
241, 5.74012
242, 5.65326
243, 6.01733
244, 6.18021
245, 6.18531
246, 7.40583
247, 6.63528
248, 6.09791
249, 5.73371
250, 5.42242
251, 5.09783
252, 5.09542
253, 5.14472
254, 5.53637
255, 6.28661
256, 6.64444
257, 6.08721
258, 4.18132
259, 5.42795
260, 4.68144
261, 4.66713
262, 4.44504
263, 6.60005
264, 6.57782
265, 6.05189
266, 5.82632
267, 6.23125
268, 6.34896
269, 6.53558
270, 6.6155
271, 6.65769
272, 6.71644
273, 5.9322
274, 5.60939
275, 5.35689
276, 5.34096
277, 5.58058
278, 5.58884
279, 5.88735
280, 5.90934
281, 5.29691
282, 5.67126
283, 6.9314
284, 6.82546
285, 7.03715
286, 7.79508
287, 6.94678
288, 7.12036
289, 6.79421
290, 7.09035
291, 6.24112
292, 6.95537
293, 8.7552
294, 6.54959
295, 6.84938
296, 6.3896
297, 6.62908
298, 5.77364
299, 5.54969
300, 5.4628
301, 5.37012
302, 5.1268
303, 5.73755
304, 5.50779
305, 5.5836
306, 7.04649
307, 7.02008
308, 6.84328
309, 5.33505
310, 4.82875
311, 6.13682
312, 7.02847
313, 8.01936
314, 7.6222
315, 7.88195
316, 7.44146
317, 9.12834
318, 8.33875
319, 8.35331
320, 8.97685
321, 5.99137
322, 5.4573
323, 5.18352
324, 5.21322
325, 5.07367
326, 5.6804
327, 6.80055
328, 6.13245
329, 6.22032
330, 5.61989
331, 6.95256
332, 7.09039
333, 6.92242
334, 6.8237
335, 6.92058
336, 6.92148
337, 6.96476
338, 6.90224
339, 6.89099
340, 7.08273
341, 7.41025
342, 6.99355
343, 7.27445
344, 6.93838
345, 5.88587
346, 5.74989
347, 5.73231
348, 5.56557
349, 5.20415
350, 5.90145
351, 6.53685
352, 7.1185
353, 6.05057
354, 5.48609
355, 6.8237
356, 6.8237
357, 6.8237
358, 6.8237
359, 6.91977
360, 6.92409
361, 6.92264
362, 6.92835
363, 6.92864
364, 7.16352
365, 7.20149
366, 6.93231
367, 7.11633
368, 6.34356
369, 6.42055
370, 5.9055
371, 5.70051
372, 5.55781
373, 5.34416
374, 6.25245
375, 6.71574
376, 7.05987
377, 5.83354
378, 5.17515
379, 6.8237
380, 6.84443
381, 7.02804
382, 6.91106
383, 6.91661
384, 6.92959
385, 6.92946
386, 6.93442
387, 6.91314
388, 7.34692
389, 8.48235
390, 6.54659
391, 6.55215
392, 6.02969
393, 5.64334
394, 6.16643
395, 5.1834
396, 5.10891
397, 4.89696
398, 5.30819
399, 6.22483
400, 6.67037
401, 6.08545
402, 6.32216
403, 6.8237
