Total Energy Consumption: 7842.55,
Total Price: 246.093,
Hour, Consumption kw
0,5.26568
1,4.95213
2,5.65299
3,5.73147
4,6.00285
5,6.45471
6,6.70482
7,6.87225
8,6.68953
9,6.39283
10,5.08439
11,5.79209
12,5.69941
13,5.97722
14,5.9024
15,6.60369
16,6.93644
17,6.19163
18,5.89407
19,5.48563
20,5.3842
21,5.45178
22,5.51081
23,6.24368
24,6.31805
25,5.72209
26,6.04092
27,6.08273
28,7.10444
29,7.3523
30,8.67858
31,7.17416
32,6.66581
33,6.35025
34,6.2187
35,5.84663
36,5.71269
37,6.36454
38,6.46656
39,6.88105
40,7.31451
41,6.34082
42,5.59047
43,4.16082
44,3.8759
45,4.01186
46,3.97469
47,5.36741
48,5.75968
49,6.42921
50,6.56537
51,5.56157
52,6.6372
53,7.67749
54,7.56433
55,7.56948
56,7.20583
57,6.25181
58,6.06742
59,6.09902
60,6.32152
61,6.49437
62,6.46206
63,6.9634
64,7.26293
65,7.16564
66,6.06624
67,5.16033
68,5.24718
69,5.02724
70,5.99839
71,5.34849
72,6.27931
73,6.51182
74,7.39603
75,6.46424
76,6.49227
77,7.82844
78,11.8151
79,8.24744
80,7.31569
81,7.45426
82,7.23243
83,6.46821
84,6.43438
85,7.00594
86,7.18461
87,7.75634
88,8.13707
89,7.90827
90,5.04938
91,4.71297
92,4.09726
93,3.98666
94,4.2325
95,5.88595
96,5.98576
97,6.29366
98,7.31853
99,9.41685
100,10.5269
101,10.3161
102,9.53179
103,7.10015
104,6.84121
105,5.48371
106,5.18835
107,5.25634
108,5.15235
109,4.96865
110,5.39382
111,5.91319
112,5.97103
113,5.75645
114,6.63314
115,5.96843
116,6.08215
117,10.6926
118,7.1165
119,7.24759
120,7.63867
121,5.53356
122,7.4935
123,7.53199
124,8.86273
125,7.47608
126,7.92824
127,8.49144
128,6.47466
129,6.40174
130,6.85874
131,5.07223
132,4.79885
133,4.84862
134,5.09804
135,5.44067
136,5.56578
137,6.26742
138,6.52478
139,5.66691
140,7.50199
141,5.61938
142,5.1778
143,6.74194
144,8.08022
145,5.59128
146,6.28024
147,6.10108
148,9.7738
149,7.59435
150,7.60031
151,6.89411
152,6.48462
153,5.2562
154,5.25342
155,4.7933
156,4.64981
157,4.71306
158,4.84732
159,6.19269
160,6.41696
161,6.21294
162,8.03597
163,4.46092
164,3.74742
165,3.11466
166,2.91201
167,5.0233
168,4.65489
169,5.18816
170,5.05884
171,5.201
172,5.62946
173,8.10338
174,10.9648
175,8.25656
176,7.96905
177,6.66246
178,6.71663
179,5.76941
180,5.50748
181,5.84933
182,6.22024
183,6.92041
184,8.24682
185,6.98289
186,5.52168
187,3.9186
188,2.87895
189,2.79668
190,2.82902
191,4.57484
192,5.9528
193,4.51137
194,4.42171
195,4.56381
196,6.1791
197,6.93031
198,8.49713
199,10.3422
200,7.82961
201,6.02362
202,5.37634
203,5.31776
204,5.41621
205,5.29538
206,5.4878
207,6.61933
208,6.94465
209,5.76074
210,5.60244
211,5.65703
212,2.80819
213,3.38291
214,3.35578
215,4.80757
216,4.61827
217,4.46873
218,4.31675
219,4.62071
220,5.37325
221,7.26543
222,6.89189
223,10.5005
224,6.89392
225,5.46252
226,5.44372
227,5.25816
228,5.1065
229,5.25807
230,5.24176
231,6.16353
232,7.07604
233,4.88017
234,5.90467
235,3.84096
236,3.2583
237,3.3275
238,3.11405
239,5.23592
240,4.65801
241,5.19364
242,5.20562
243,5.3057
244,6.37633
245,6.6352
246,8.65358
247,7.37186
248,6.28936
249,5.73371
250,5.42242
251,5.09783
252,5.09542
253,5.14472
254,5.53637
255,6.99831
256,7.36648
257,6.61342
258,4.21019
259,3.32004
260,3.60818
261,3.45941
262,3.17648
263,6.58868
264,5.8396
265,5.61923
266,5.91839
267,6.34832
268,7.88372
269,6.98954
270,7.59602
271,8.55863
272,8.63932
273,6.3922
274,5.94161
275,5.69479
276,5.70601
277,5.90563
278,5.90266
279,6.29008
280,6.43388
281,6.01524
282,6.51701
283,6.22718
284,4.86746
285,5.88641
286,7.81028
287,6.52061
288,7.51381
289,6.60415
290,7.65913
291,4.58034
292,7.05033
293,11.2214
294,7.50761
295,8.90509
296,7.14047
297,7.99829
298,6.10852
299,5.55218
300,5.4628
301,5.37012
302,5.1268
303,5.73755
304,5.601
305,6.83281
306,8.46379
307,6.52013
308,4.43941
309,3.8087
310,3.50779
311,5.14896
312,7.54321
313,9.49821
314,9.48106
315,10.5313
316,9.91251
317,13.9661
318,11.2104
319,10.7732
320,10.6741
321,6.86018
322,5.93735
323,5.74586
324,5.55607
325,5.14524
326,5.73068
327,7.00609
328,6.26607
329,6.98028
330,6.96306
331,5.67417
332,6.59409
333,5.58148
334,4.59107
335,5.63561
336,5.61745
337,6.2045
338,5.98004
339,5.61513
340,7.55366
341,9.52005
342,8.00066
343,9.07746
344,7.79144
345,6.75409
346,6.62306
347,6.38223
348,5.87393
349,5.47186
350,6.26327
351,7.17566
352,8.29771
353,6.94041
354,5.49553
355,4.76837
356,4.22055
357,4.23141
358,4.0663
359,5.65623
360,5.58351
361,5.72658
362,5.87993
363,5.69379
364,7.72395
365,8.29778
366,8.87461
367,9.00506
368,7.17344
369,8.97544
370,7.21561
371,6.08817
372,5.87981
373,5.6438
374,6.52674
375,7.35429
376,8.00459
377,6.34247
378,5.17515
379,4.38439
380,4.84563
381,5.6238
382,5.24624
383,5.77054
384,5.74032
385,5.97665
386,6.01336
387,5.92075
388,8.96387
389,11.7069
390,8.60962
391,7.63704
392,6.17415
393,5.83947
394,7.86508
395,5.1834
396,5.10891
397,4.89696
398,5.30819
399,6.43674
400,7.41677
401,9.02704
402,6.67838
403,3.57808
404,3.46316
405,3.41267
406,3.66442
407,4.89
408,4.81378
409,5.4591
410,5.67646
411,5.29225
412,5.71291
413,7.91065
414,8.63332
415,7.60251
416,6.99973
417,7.05068
418,6.09418
419,5.32573
420,5.10738
421,5.11572
422,6.09613
423,6.88838
424,7.1655
425,5.79947
426,5.16531
427,4.75596
428,4.24433
429,3.96514
430,4.61173
431,5.21102
432,5.76886
433,6.1962
434,6.52509
435,6.4889
436,8.53253
437,6.95858
438,7.54755
439,7.8362
440,6.96105
441,7.13407
442,6.48689
443,6.1605
444,5.49912
445,5.52087
446,5.90313
447,6.34334
448,6.31121
449,6.80914
450,6.84327
451,5.37337
452,4.26555
453,4.60625
454,7.39305
455,6.70491
456,8.97825
457,10.1828
458,6.37158
459,7.52586
460,9.88654
461,10.0175
462,8.0668
463,8.13192
464,8.30809
465,6.43564
466,5.45745
467,3.90133
468,3.90026
469,4.032
470,3.90789
471,4.75115
472,4.85704
473,6.97355
474,5.96679
475,6.72224
476,6.51939
477,4.01692
478,4.89448
479,7.14844
480,7.01893
481,9.50522
482,8.42317
483,8.54376
484,10.2123
485,8.12164
486,9.66916
487,11.0856
488,10.0267
489,7.79529
490,6.05549
491,4.3204
492,4.04869
493,3.9544
494,4.99722
495,5.74232
496,6.77566
497,6.73185
498,4.68192
499,3.92938
500,4.14895
501,3.96023
502,3.64885
503,4.96461
504,5.01657
505,5.47287
506,5.18143
507,5.42458
508,6.10633
509,10.2205
510,8.73343
511,10.8217
512,7.76133
513,6.13502
514,5.42267
515,3.83925
516,4.14348
517,4.07834
518,4.49054
519,5.5184
520,5.98393
521,6.3498
522,5.43602
523,5.60642
524,4.06375
525,3.86817
526,3.81793
527,5.40919
528,5.20359
529,4.99971
530,5.1727
531,5.49856
532,6.35591
533,6.58896
534,7.35528
535,8.43638
536,9.69038
537,7.82881
538,6.00201
539,4.41296
540,3.74099
541,3.60817
542,4.08266
543,5.34659
544,5.319
545,5.65356
546,4.73098
547,3.45989
548,3.33803
549,3.75877
550,3.59157
551,4.9229
552,5.28928
553,7.89667
554,5.59702
555,5.57155
556,9.30426
557,9.21675
558,6.44466
559,7.59485
560,6.97388
561,6.12378
562,5.3908
563,3.68242
564,3.80556
565,3.71503
566,3.85988
567,5.10891
568,5.23025
569,5.76778
570,4.0527
571,4.15613
572,5.93805
573,3.60374
574,3.86281
575,7.53952
576,5.64957
577,7.24421
578,5.75805
579,5.15853
580,6.01854
581,6.33397
582,7.44419
583,9.37632
584,7.29657
585,7.25762
586,6.29293
587,3.4074
588,3.67509
589,3.5959
590,3.9058
591,4.37117
592,5.70166
593,6.71674
594,6.05177
595,4.86144
596,3.22655
597,4.30931
598,5.76696
599,5.00891
600,5.3294
601,4.94801
602,5.46374
603,6.26249
604,7.19046
605,8.18
606,8.6672
607,7.9526
608,8.57139
609,8.67556
610,5.98918
611,4.21195
612,3.66638
613,3.81598
614,3.69528
615,4.61173
616,4.53236
617,5.03267
618,5.78668
619,4.88177
620,4.97786
621,4.50871
622,5.90404
623,7.49431
624,5.44583
625,5.39581
626,5.82259
627,7.18982
628,8.51499
629,8.3623
630,7.30161
631,8.03427
632,6.48715
633,5.61997
634,5.05718
635,3.36027
636,3.39307
637,3.43983
638,3.48674
639,3.7766
640,4.12039
641,4.34363
642,5.70175
643,4.60154
644,5.12425
645,3.65191
646,3.83182
647,6.26415
648,8.67275
649,5.98564
650,5.19614
651,6.51436
652,9.8374
653,13.5734
654,10.8233
655,8.10052
656,8.10775
657,8.11776
658,5.91628
659,4.12426
660,4.09445
661,4.30897
662,4.73914
663,4.75737
664,5.66464
665,5.97478
666,7.68418
667,5.78268
668,4.9488
669,4.79631
670,4.52842
671,6.43428
672,6.5219
673,6.77626
674,7.33222
675,8.07146
676,10.4953
677,10.6646
678,8.98536
679,7.82099
680,6.61112
681,6.64136
682,5.54683
683,3.73205
684,3.4753
685,3.77588
686,4.38668
687,4.72067
688,5.77726
689,6.26403
690,5.63711
691,3.73077
692,3.92889
693,3.35392
694,3.30976
695,5.00594
696,6.02244
697,5.84846
698,6.55613
699,5.90383
700,6.106
701,7.26199
702,9.44583
703,9.62842
704,7.89885
705,7.04936
706,5.71676
707,3.77264
708,3.85549
709,3.88831
710,4.50254
711,4.57661
712,5.17084
713,6.21874
714,4.62394
715,3.61043
716,4.79156
717,5.99026
718,4.65907
719,5.60986
720,8.29012
721,5.46448
722,6.06973
723,8.15064
724,6.18552
725,7.74185
726,11.8103
727,7.61277
728,6.47287
729,6.06804
730,5.64358
731,3.66692
732,3.68
733,3.80302
734,3.98244
735,4.5109
736,5.10692
737,6.92814
738,4.40168
739,3.39233
740,3.17382
741,3.32621
742,3.29077
743,5.26481
744,5.46592
745,5.12559
746,5.07717
747,5.25816
748,5.23326
749,6.04263
750,6.89466
751,7.38624
