Total Price: $5275.61
Total Energy: 100401
Hour, Consumption kw
0, 86.3157
1, 86.1327
2, 86.7462
3, 86.4734
4, 84.5414
5, 88.8338
6, 88.6641
7, 90.7637
8, 87.9228
9, 87.1198
10, 67.4813
11, 71.3991
12, 74.0254
13, 59.522
14, 67.5802
15, 86.5784
16, 96.3983
17, 94.1958
18, 94.0465
19, 79.3666
20, 75.6121
21, 87.0661
22, 86.2311
23, 84.7289
24, 84.0673
25, 82.9313
26, 87.7812
27, 90.2232
28, 86.37
29, 93.7507
30, 98.9757
31, 88.5211
32, 88.7993
33, 90.631
34, 80.6091
35, 79.5146
36, 81.2053
37, 86.0776
38, 92.6598
39, 99.7769
40, 104.284
41, 114.744
42, 105.931
43, 83.3863
44, 84.1602
45, 93.7235
46, 98.2671
47, 98.8415
48, 96.8141
49, 98.5827
50, 99.2645
51, 95.0593
52, 99.8283
53, 110.483
54, 110.354
55, 98.7283
56, 99.7409
57, 103.708
58, 84.3332
59, 95.5137
60, 85.3423
61, 81.3323
62, 82.6495
63, 100.984
64, 93.381
65, 97.2033
66, 99.9819
67, 81.7499
68, 70.4143
69, 88.469
70, 89.7924
71, 90.5236
72, 92.6219
73, 85.0229
74, 92.8893
75, 93.7216
76, 97.0555
77, 104.702
78, 107.212
79, 94.351
80, 89.3273
81, 89.1474
82, 72.8665
83, 74.2317
84, 77.5558
85, 79.4438
86, 80.5142
87, 87.895
88, 103.128
89, 96.8334
90, 80.7113
91, 75.0434
92, 70.4123
93, 84.305
94, 86.6277
95, 82.9313
96, 95.4155
97, 95.3049
98, 100.491
99, 105.425
100, 104.255
101, 90.6218
102, 87.3475
103, 94.2474
104, 88.2208
105, 89.4312
106, 79.0941
107, 70.5402
108, 72.3654
109, 66.4491
110, 73.0672
111, 82.6092
112, 80.8193
113, 79.6129
114, 82.2787
115, 78.7682
116, 81.1018
117, 94.6122
118, 100.72
119, 86.4428
120, 87.2106
121, 82.9313
122, 85.9859
123, 95.0042
124, 106.619
125, 97.7662
126, 99.4456
127, 92.2153
128, 89.5938
129, 91.1099
130, 67.9659
131, 62.4452
132, 62.1279
133, 64.336
134, 66.2831
135, 76.5269
136, 74.0746
137, 76.3881
138, 81.4503
139, 75.565
140, 74.2318
141, 88.9131
142, 87.5184
143, 84.2552
144, 89.8605
145, 83.5084
146, 84.6425
147, 87.8813
148, 90.702
149, 90.4777
150, 85.6582
151, 85.0878
152, 86.6619
153, 86.9916
154, 64.1428
155, 59.4223
156, 64.9793
157, 68.2851
158, 63.458
159, 75.5646
160, 82.7428
161, 77.5659
162, 79.6064
163, 76.0564
164, 62.5865
165, 89.7487
166, 84.513
167, 85.0632
168, 83.4827
169, 83.1067
170, 82.9313
171, 82.9313
172, 84.572
173, 87.0564
174, 89.5716
175, 83.2854
176, 84.1718
177, 88.1113
178, 64.1698
179, 57.8749
180, 59.4515
181, 57.6938
182, 63.0874
183, 63.6845
184, 69.9033
185, 70.2767
186, 74.9757
187, 65.9315
188, 59.1966
189, 87.0746
190, 88.1211
191, 83.6516
192, 84.9437
193, 82.9313
194, 82.9313
195, 85.591
196, 89.605
197, 89.3691
198, 89.9816
199, 86.2317
200, 90.4649
201, 82.1328
202, 63.6697
203, 62.0054
204, 64.4857
205, 60.108
206, 61.4321
207, 70.2918
208, 72.7646
209, 69.8552
210, 68.326
211, 69.1744
212, 60.8624
213, 82.6128
214, 83.5314
215, 82.9313
216, 82.9313
217, 83.1578
218, 83.4797
219, 83.1553
220, 83.7959
221, 84.6875
222, 86.8476
223, 85.748
224, 85.3589
225, 85.0201
226, 60.8595
