Total Price: $4132.51
Total Energy: 98300.3
Hour, Consumption kw
0, 73.6005
1, 77.3665
2, 79.9986
3, 77.8955
4, 76.3495
5, 86.6683
6, 91.4648
7, 88.5132
8, 83.0582
9, 82.5212
10, 68.7504
11, 74.1024
12, 74.0832
13, 59.522
14, 67.8613
15, 94.5239
16, 99.0804
17, 94.1958
18, 95.9866
19, 80.6361
20, 75.6121
21, 79.237
22, 81.4806
23, 76.8883
24, 78.2887
25, 71.0215
26, 80.8128
27, 84.4176
28, 83.243
29, 103.112
30, 100.369
31, 89.4205
32, 89.8613
33, 92.0303
34, 83.2105
35, 82.953
36, 82.2033
37, 86.3492
38, 92.7487
39, 102.335
40, 105.751
41, 115.102
42, 107.972
43, 85.9968
44, 84.3118
45, 86.7311
46, 94.0909
47, 93.2688
48, 92.5308
49, 92.1223
50, 89.6297
51, 88.3585
52, 95.2663
53, 111.679
54, 113.983
55, 101.498
56, 106.133
57, 105.329
58, 88.0499
59, 96.5103
60, 85.3423
61, 81.546
62, 82.8509
63, 102.672
64, 93.5682
65, 97.4071
66, 100.335
67, 82.7884
68, 70.4546
69, 80.9435
70, 84.8829
71, 79.9336
72, 80.1456
73, 74.4056
74, 87.6353
75, 87.2411
76, 95.4979
77, 108.124
78, 112.044
79, 97.6375
80, 88.5821
81, 86.3511
82, 76.8004
83, 78.5985
84, 79.8225
85, 80.5347
86, 80.6679
87, 92.211
88, 105.895
89, 96.8334
90, 80.7113
91, 75.6656
92, 70.4123
93, 74.7863
94, 79.5921
95, 74.2559
96, 88.5153
97, 85.5626
98, 91.56
99, 98.1637
100, 99.7587
101, 92.0257
102, 92.1178
103, 98.3967
104, 88.2965
105, 83.5426
106, 81.0799
107, 70.6424
108, 72.5483
109, 66.5718
110, 73.0672
111, 89.5079
112, 81.1347
113, 80.8736
114, 83.0992
115, 79.1336
116, 81.8352
117, 87.814
118, 91.9739
119, 77.1984
120, 77.9428
121, 75.448
122, 79.0333
123, 85.6276
124, 102.025
125, 100.645
126, 100.443
127, 93.7788
128, 87.6993
129, 85.8879
130, 69.4882
131, 64.0081
132, 63.7253
133, 65.081
134, 66.515
135, 80.8479
136, 75.5937
137, 78.7119
138, 86.8641
139, 75.6958
140, 74.5795
141, 83.2032
142, 76.6577
143, 72.1628
144, 82.8281
145, 72.626
146, 73.1796
147, 80.2707
148, 87.4284
149, 94.4125
150, 89.371
151, 86.0319
152, 84.1515
153, 83.7256
154, 68.3308
155, 63.3499
156, 69.2112
157, 69.5573
158, 63.458
159, 81.058
160, 84.6008
161, 78.1892
162, 82.1619
163, 82.0463
164, 64.2618
165, 74.0318
166, 69.805
167, 72.8848
168, 70.5865
169, 73.0646
170, 74.3355
171, 75.1425
172, 76.4507
173, 87.217
174, 90.9765
175, 80.3576
176, 81.4021
177, 77.5714
178, 65.9125
179, 58.7962
180, 61.0427
181, 59.0088
182, 64.6721
183, 66.2674
184, 73.5503
185, 72.1471
186, 76.0375
187, 70.5689
188, 59.2554
189, 72.1817
190, 73.2437
191, 68.8853
192, 72.2562
193, 70.0081
194, 74.2161
195, 78.6956
196, 86.2366
197, 95.1532
198, 97.0281
199, 88.5264
200, 90.3923
201, 77.2674
202, 64.1953
203, 62.5832
204, 65.5725
205, 61.1192
206, 62.8162
207, 73.9312
208, 73.392
209, 71.2079
210, 72.2348
211, 72.8916
212, 63.3346
213, 72.1498
214, 72.1019
215, 72.3915
216, 70.2049
217, 69.8372
218, 72.929
219, 73.6142
220, 78.9855
221, 85.9483
222, 87.557
223, 86.9063
224, 81.8456
225, 78.5605
226, 62.9468
227, 70.6611
228, 60.1881
229, 64.1607
230, 64.5814
231, 74.4391
232, 73.6137
233, 70.6736
234, 72.6154
235, 68.9321
236, 62.0949
237, 67.7092
238, 72.2468
239, 80.0972
240, 71.7348
241, 77.5128
242, 80.2166
243, 78.139
244, 79.7527
245, 88.1687
246, 90.3359
247, 88.9237
248, 87.0423
249, 84.4612
250, 62.272
251, 64.0804
252, 57.3128
253, 57.4196
254, 55.6992
255, 74.6334
256, 74.7739
257, 69.3579
258, 68.4745
259, 69.9465
260, 62.6263
261, 70.7895
262, 72.1538
263, 76.1073
264, 76.6914
265, 81.1333
266, 79.1195
267, 77.9169
268, 79.074
269, 98.124
270, 87.1505
271, 95.0326
272, 90.1493
273, 76.4975
274, 61.8497
275, 64.8155
276, 63.8132
277, 60.3414
278, 60.5042
279, 66.3787
280, 68.0143
281, 72.5934
282, 81.8057
283, 81.2533
284, 71.2939
285, 82.3644
286, 83.5997
287, 81.724
288, 90.6389
289, 81.7833
290, 83.0094
291, 76.7437
292, 80.9575
293, 103.075
294, 89.4734
295, 91.7184
296, 84.5463
297, 82.5014
298, 72.1845
299, 63.8601
